80,4422,20
80,10449,31
151,3655,-86
178,7858,-84
139,14356,145
196,11741,-143
258,4340,34
275,5026,131
196,11938
271,5607,
284,9767,
320,12537,
348,12972,
386,3859,
398,4056,
366,6427,
469,2043,
423,9848,
456,13249,
537,9312,
532,10757,
597,6747,
555,7361,
576,8142,
647,2313,
628,7189,
677,2779,
766,6010,
820,3153,
795,4727,
798,4781,
829,6975,
807,7155,
786,8676,
804,10798,
884,4147,
873,5302,
877,6184,
962,6855,
1056,11242,
1032,12424,
1100,3585,
1276,7723,
1292,7988,
1270,10175,
1354,2457,
1371,6786,
1350,9858,
1386,15012,
1491,4759,
1443,6559,
1487,8567,
1460,14897,
1581,10646,
1676,4699,
1667,4932,
1740,3235,
1797,8055,
1770,8434,
1805,11432,
1918,9409,
2029,3048,
2022,6598,
1987,12965,
2057,6277,
2092,14762,
2112,2630,
2192,7547,
2166,12707,
2171,13767,
2271,4283,
2276,5970,
2298,8493,
2394,14753,
2491,6882,
2489,7680,
2501,11130,
2543,7593,
2563,9221,
2538,9381,
2577,13904,
2626,11336,
2737,3598,
2747,4226,
2813,2482,
2974,13591,
2943,14412,
3118,2397,
3063,6581,
3228,3600,
3214,6287,
3199,11591,
3282,5767,
3273,11624,
3360,4284,
3418,10188,
3374,11019,
3423,8144,
3443,12136,
3654,6260,
3603,9367,
3614,10572,
3746,2979,
3818,14120,
3871,4434,
3965,12130,
4079,3865,
4081,6016,
4111,15170,
4145,3819,
4221,7087,
4315,14287,
4351,4973,
4364,14671,
4393,8058,
4389,11896,
4414,12237,
4444,5074,
4544,3130,
4719,14976,
4700,15234,
4826,3318,
4839,3845,
4838,4611,
4852,13584,
4882,8150,
4880,12475,
4951,6380,
4998,5068,
5026,11275,
5071,6279,
5097,6386,
5209,4085,
5263,4857,
5276,11899,
5329,5795,
5338,7360,
5298,13590,
5346,7893,
5466,7888,
5543,9563,
5535,11251,
5520,13834,
5564,15084,
5669,6843,
5682,14211,
5646,14309,
5869,4303,
5921,3466,
6085,5033,
6115,6129,
6155,5688,
6144,13133,
6187,4090,
6227,9750,
6204,11372,
6213,11360,
6220,15337,
6296,7822,
6250,12220,
6290,14224,
6332,7949,
6376,6573,
6375,7788,
6434,8473,
6579,4391,
6601,15192,
6682,6772,
6696,8429,
6703,13709,
6736,5409,
6784,7184,
6798,12984,
6815,13603,
6856,8004,
6889,10862,
6860,15051,
6997,4549,
7071,9943,
7024,13569,
7088,9160,
7139,11959,
7101,12359,
7180,14000,
7235,5952,
7236,10704,
7428,12732,
7463,6770,
7499,11747,
7619,5407,
7635,6637,
7652,11186,
7626,11781,
7696,8689,
7926,13360,
8035,14131,
8079,4485,
8078,15145,
8143,5039,
8115,5753,
8135,6808,
8118,8237,
8171,5446,
8194,7708,
8209,14276,
8291,9722,
8337,10673,
8368,11439,
8406,3301,
8404,8159,
8414,10533,
8480,6131,
8546,4394,
8633,12096,
8676,12304,
8659,14297,
8701,8780,
8805,10479,
8771,15021,
8823,4197,
8844,6457,
8855,6983,
8824,7566,
8826,8649,
8841,13877,
8895,5322,
9127,3101,
9177,7769,
9163,15016,
9186,8289,
9332,3373,
9325,7220,
9303,12043,
9311,15032,
9429,5824,
9453,7718,
9535,2705,
9502,9051,
9548,12634,
9626,6258,
9656,9187,
9665,3669,
9665,8331,
9689,14663,
9774,2516,
9728,4496,
9763,11714,
9832,14217,
9811,15234,
9884,4360,
9855,7239,
9864,13456,
9945,3192,
9919,5257,
9914,9632,
9940,15282,
9979,8973,
10085,6696,
10143,6752,
10227,8431,
10297,7458,
10333,10130,
10322,14695,
10383,6011,
10482,11750,
10443,12495,
10561,12798,
10663,5224,
10643,6059,
10635,10921,
10704,5836,
10783,3645,
10797,13557,
10785,14904,
10855,3497,
10858,4244,
10877,4134,
10898,6443,
10873,10268,
10886,14709,
10967,8591,
11201,7260,
11160,9590,
11167,9848,
11237,5624,
11234,13647,
11326,8057,
11339,9193,
11358,10188,
11364,11773,
11448,5127,
11576,4676,
11535,13324,
11609,3733,
11687,6963,
11707,4435,
11756,5805,
11750,6317,
11733,7100,
11816,4013,
11819,8417,
11868,15252,
11887,9545,
11942,10835,
12073,5111,
12130,5451,
12128,11189,
12178,14802,
12251,5433,
12263,8735,
12289,11441,
12345,6924,
12378,7740,
12372,15202,
12463,4638,
12582,7388,
12619,6673,
12635,12804,
12624,14528,
12719,6323,
12728,5133,
12761,7721,
12818,13117,
12867,10430,
12890,10460,
12935,12241,
13254,12791,
13200,13232,
13331,5062,
13353,15078,
13381,12246,
13452,11908,
13462,12455,
13616,3089,
13646,14477,
13746,14415,
13953,14845,
14386,15063,
14422,14289,
14645,14643,
14844,14073,
14917,14257,
15134,14788,
